,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.285481556662301,,Intercept,311.9518459233512,312.0,0.04815407664881377,312.0
1,1,grade:A,1.1412179132746727,1.832963054932359e-36,grade,88.99265169985868,89.0,0.007348300141316599,89.0
2,2,grade:B,0.8851341956230041,7.376887459858063e-48,grade,69.02313595190984,69.0,-0.023135951909836194,69.0
3,3,grade:C,0.6900668435732125,1.779395144429476e-34,grade,53.81170199433345,54.0,0.18829800566655308,54.0
4,4,grade:D,0.5020342529864138,4.885439644606698e-21,grade,39.14884168722783,39.0,-0.1488416872278293,39.0
5,5,grade:E,0.3266031722787097,4.525512898788023e-12,grade,25.468652407730485,25.0,-0.46865240773048455,25.0
6,6,grade:F,0.13683257544963995,0.005268079292324207,grade,10.670261644634396,11.0,0.32973835536560436,11.0
7,7,home_ownership:OWN,0.09190914996789741,5.0270220601474755e-06,home_ownership,7.167114076971696,7.0,-0.16711407697169633,7.0
8,8,home_ownership:MORTGAGE,0.10606738871151404,4.971051377832243e-17,home_ownership,8.271179474594721,8.0,-0.2711794745947209,8.0
9,9,addr_state:NM_VA,0.0288939953078732,0.3667994485615509,addr_state,2.2531658772096645,2.0,-0.25316587720966455,2.0
10,10,addr_state:NY,0.05128534882023219,0.03432810162729662,addr_state,3.9992530188808875,4.0,0.0007469811191125331,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05348590305600493,0.020948215343113908,addr_state,4.17085316147665,4.0,-0.17085316147664997,4.0
12,12,addr_state:CA,0.05793338181603472,0.0063158068396726354,addr_state,4.51766942121984,5.0,0.48233057878015995,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07306222307507919,0.0033772909810049056,addr_state,5.69742281023324,6.0,0.30257718976675996,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13019987380663206,7.607128709817727e-09,addr_state,10.15304078761897,10.0,-0.1530407876189699,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09441386232309894,0.0015577496202499703,addr_state,7.362432597336644,7.0,-0.36243259733664424,7.0
16,16,addr_state:GA_WA_OR,0.18015006119929666,1.4562329346426872e-11,addr_state,14.048177358182233,14.0,-0.04817735818223312,14.0
17,17,addr_state:WI_MT,0.22366764874672437,2.3636152672754807e-06,addr_state,17.4416970938773,17.0,-0.4416970938772984,17.0
18,18,addr_state:TX,0.2168463668994622,7.251817419378114e-17,addr_state,16.909770673411217,17.0,0.09022932658878347,17.0
19,19,addr_state:IL_CT,0.25602783476419344,1.8834543364908333e-18,addr_state,19.965157976936656,20.0,0.034842023063344385,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31490683142186526,1.796562890262873e-24,addr_state,24.55656684026055,25.0,0.44343315973944897,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5163824034815017,2.8482578771155087e-22,addr_state,40.26771648291217,40.0,-0.26771648291217076,40.0
22,22,verification_status:Not Verified,0.08461565645861743,6.754602469482062e-09,verification_status,6.598364392974831,7.0,0.4016356070251694,7.0
23,23,verification_status:Source Verified,-0.01089552711814604,0.41721625503937365,verification_status,-0.8496377761274794,-1.0,-0.15036222387252063,-1.0
24,24,purpose:credit_card,0.3051068456980682,3.2956726726949344e-27,purpose,23.79235984172253,24.0,0.20764015827747073,24.0
25,25,purpose:debt_consolidation,0.20122707330693615,9.204237712959538e-15,purpose,15.69177160565302,16.0,0.3082283943469797,16.0
26,26,purpose:oth__med__vacation,0.21711761370431773,2.825978657764176e-12,purpose,16.930922613061323,17.0,0.06907738693867671,17.0
27,27,purpose:major_purch__car__home_impr,0.26917657927213046,6.116684494727593e-18,purpose,20.990502590506207,21.0,0.009497409493793185,21.0
28,28,initial_list_status:w,0.0543671092910374,3.1192928126032635e-05,initial_list_status,4.239569993413649,4.0,-0.2395699934136486,4.0
29,29,term:36,0.07843446220874663,2.0017563663258976e-08,term,6.116352271915944,6.0,-0.116352271915944,6.0
30,30,emp_length:1,0.10000693178999945,0.00011503162252739596,emp_length,7.7985825010590135,8.0,0.20141749894098648,8.0
31,31,emp_length:2-4,0.1262440713843247,2.226357594031435e-11,emp_length,9.844565654984834,10.0,0.1554343450151663,10.0
32,32,emp_length:5-6,0.0914915936143285,1.906924320913768e-05,emp_length,7.134552857325578,7.0,-0.13455285732557787,7.0
33,33,emp_length:7-9,0.06172246896201887,0.0029982291959495663,emp_length,4.8131440266572865,5.0,0.18685597334271353,5.0
34,34,emp_length:10,0.12587278884502864,8.539183773132612e-12,emp_length,9.815612886790895,10.0,0.18438711320910528,10.0
35,35,mths_since_issue_d:<38,1.091351398712564,4.3158086043729196e-185,mths_since_issue_d,85.10403997172891,85.0,-0.10403997172890911,85.0
36,36,mths_since_issue_d:38-39,0.8868660442934129,5.660990671332963e-154,mths_since_issue_d,69.15818623786294,69.0,-0.15818623786293529,69.0
37,37,mths_since_issue_d:40-41,0.7863633802813251,6.287026292255131e-128,mths_since_issue_d,61.32094633013029,61.0,-0.3209463301302904,61.0
38,38,mths_since_issue_d:42-48,0.5855825922615847,2.4189635390885632e-91,mths_since_issue_d,45.66397623842145,46.0,0.3360237615785522,46.0
39,39,mths_since_issue_d:49-52,0.4245235913232944,6.74199570940484e-43,mths_since_issue_d,33.10452776946043,33.0,-0.1045277694604323,33.0
40,40,mths_since_issue_d:53-64,0.17853805543565368,8.02062236532779e-10,mths_since_issue_d,13.922472472381411,14.0,0.07752752761858872,14.0
